epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7889,0.83381,0.76905,1.10504,0.93431,0.47198,0.70847,0.51382,1.36412,0.93169,1.50564,0.000473411,0.000473411,0.000473411
2,31.8804,0.89494,0.8414,1.14394,0.92586,0.40055,0.66984,0.44166,1.70293,1.18525,1.72468,0.000930939,0.000930939,0.000930939
3,46.6733,0.94879,0.92308,1.17104,0.9313,0.37384,0.65476,0.46727,1.50651,1.08381,1.61459,0.00136961,0.00136961,0.00136961
4,61.3672,0.97321,0.95308,1.19314,0.94582,0.37447,0.6575,0.38711,1.82056,1.51353,1.8986,0.00134412,0.00134412,0.00134412
5,76.0152,0.97723,0.96,1.19541,0.92701,0.35421,0.64724,0.46499,1.48928,1.22652,1.5679,0.00131582,0.00131582,0.00131582
6,90.4501,0.97362,0.95317,1.19142,0.95095,0.40185,0.67878,0.48508,1.4683,1.24134,1.56796,0.00128753,0.00128753,0.00128753
7,104.851,0.96054,0.93052,1.18443,0.94265,0.31747,0.63318,0.42379,1.65321,1.20459,1.69373,0.00125923,0.00125923,0.00125923
8,119.187,0.9677,0.93722,1.19094,0.96217,0.32502,0.64908,0.44211,1.61081,1.22402,1.68636,0.00123094,0.00123094,0.00123094
9,133.28,0.96105,0.93058,1.18517,0.97436,0.3159,0.64494,0.46274,1.51064,1.12039,1.62669,0.00120265,0.00120265,0.00120265
10,147.36,0.9465,0.90424,1.18104,0.94682,0.28207,0.61887,0.41741,1.53381,1.15031,1.58118,0.00117435,0.00117435,0.00117435
11,161.382,0.9421,0.91672,1.17858,0.93856,0.28212,0.61002,0.42239,1.56398,1.17813,1.61442,0.00114606,0.00114606,0.00114606
12,175.372,0.92105,0.88214,1.15741,0.94392,0.37853,0.66168,0.42334,1.61618,1.20808,1.69349,0.00111776,0.00111776,0.00111776
13,189.371,0.92411,0.87105,1.16378,1,0.33958,0.66978,0.48382,1.55617,1.04118,1.65722,0.00108947,0.00108947,0.00108947
14,203.986,0.92048,0.86809,1.15801,0.98039,0.26235,0.61928,0.46114,1.55254,1.06433,1.61577,0.00106118,0.00106118,0.00106118
15,218.163,0.9102,0.85764,1.15339,0.9899,0.31715,0.65355,0.44552,1.5346,1.07062,1.59522,0.00103288,0.00103288,0.00103288
16,232.168,0.90834,0.85518,1.151,0.94105,0.40222,0.67815,0.46498,1.58616,1.06695,1.62333,0.00100459,0.00100459,0.00100459
17,246.275,0.89758,0.83524,1.14414,0.96825,0.37197,0.66896,0.47325,1.46172,1.00342,1.56288,0.000976293,0.000976293,0.000976293
18,260.304,0.88766,0.83169,1.14071,0.9843,0.35969,0.67207,0.46756,1.55638,1.04783,1.57513,0.000947999,0.000947999,0.000947999
19,274.333,0.88331,0.81647,1.13674,0.94391,0.34246,0.6425,0.43089,1.51226,1.08459,1.53499,0.000919704,0.000919704,0.000919704
20,288.866,0.88938,0.81259,1.13925,0.98413,0.40485,0.69564,0.497,1.46793,1.01923,1.52583,0.00089141,0.00089141,0.00089141
21,303.167,0.8686,0.80604,1.12503,0.96498,0.43679,0.70448,0.48741,1.45654,1.02629,1.59794,0.000863116,0.000863116,0.000863116
22,317.255,0.86019,0.78396,1.12249,0.98333,0.39043,0.68672,0.49381,1.43752,0.98492,1.51235,0.000834822,0.000834822,0.000834822
23,331.346,0.86757,0.77665,1.12595,0.96624,0.40737,0.6918,0.50055,1.43318,1.02479,1.49769,0.000806528,0.000806528,0.000806528
