epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9218,0.83381,0.76905,1.10504,0.88494,0.66539,0.79494,0.54835,1.36412,0.93169,1.50564,0.000473411,0.000473411,0.000473411
2,31.9117,0.89494,0.8414,1.14394,0.86451,0.63189,0.76076,0.46903,1.70293,1.18525,1.72468,0.000930939,0.000930939,0.000930939
3,46.5827,0.94879,0.92308,1.17104,0.85332,0.63413,0.7528,0.49696,1.50651,1.08381,1.61459,0.00136961,0.00136961,0.00136961
4,60.6236,0.97321,0.95308,1.19314,0.83626,0.58594,0.72391,0.39838,1.82056,1.51353,1.8986,0.00134412,0.00134412,0.00134412
5,74.4745,0.97723,0.96,1.19541,0.82135,0.60215,0.7363,0.48896,1.48928,1.22652,1.5679,0.00131582,0.00131582,0.00131582
6,88.6555,0.97362,0.95317,1.19142,0.78611,0.6038,0.73492,0.48796,1.4683,1.24134,1.56796,0.00128753,0.00128753,0.00128753
7,102.939,0.96054,0.93052,1.18443,0.89865,0.55918,0.73849,0.45777,1.65321,1.20459,1.69373,0.00125923,0.00125923,0.00125923
8,117.011,0.9677,0.93722,1.19094,0.89111,0.58691,0.753,0.47366,1.61081,1.22402,1.68636,0.00123094,0.00123094,0.00123094
9,131.05,0.96105,0.93058,1.18517,0.86855,0.63413,0.76834,0.49518,1.51064,1.12039,1.62669,0.00120265,0.00120265,0.00120265
10,145.371,0.9465,0.90424,1.18104,0.90317,0.62901,0.77676,0.50698,1.53381,1.15031,1.58118,0.00117435,0.00117435,0.00117435
11,159.597,0.9421,0.91672,1.17858,0.85622,0.61231,0.74893,0.46759,1.56398,1.17813,1.61442,0.00114606,0.00114606,0.00114606
12,173.946,0.92105,0.88214,1.15741,0.86965,0.63406,0.7629,0.45793,1.61618,1.20808,1.69349,0.00111776,0.00111776,0.00111776
13,188.036,0.92411,0.87105,1.16378,0.87178,0.62235,0.77722,0.50936,1.55617,1.04118,1.65722,0.00108947,0.00108947,0.00108947
14,201.991,0.92048,0.86809,1.15801,0.895,0.60662,0.76552,0.49495,1.55254,1.06433,1.61577,0.00106118,0.00106118,0.00106118
15,216.081,0.9102,0.85764,1.15339,0.91281,0.63031,0.78874,0.49782,1.5346,1.07062,1.59522,0.00103288,0.00103288,0.00103288
16,230.613,0.90834,0.85518,1.151,0.87468,0.66046,0.7838,0.49505,1.58616,1.06695,1.62333,0.00100459,0.00100459,0.00100459
17,245.179,0.89758,0.83524,1.14414,0.87424,0.66394,0.79299,0.50865,1.46172,1.00342,1.56288,0.000976293,0.000976293,0.000976293
18,259.34,0.88766,0.83169,1.14071,0.88689,0.67224,0.804,0.51213,1.55638,1.04783,1.57513,0.000947999,0.000947999,0.000947999
19,273.42,0.88331,0.81647,1.13674,0.89653,0.61238,0.7585,0.46892,1.51226,1.08459,1.53499,0.000919704,0.000919704,0.000919704
20,287.919,0.88938,0.81259,1.13925,0.93468,0.63992,0.79757,0.53472,1.46793,1.01923,1.52583,0.00089141,0.00089141,0.00089141
21,302.034,0.8686,0.80604,1.12503,0.90333,0.63396,0.78533,0.51987,1.45654,1.02629,1.59794,0.000863116,0.000863116,0.000863116
22,316.15,0.86019,0.78396,1.12249,0.91793,0.64848,0.8009,0.53063,1.43752,0.98492,1.51235,0.000834822,0.000834822,0.000834822
23,330.351,0.86757,0.77665,1.12595,0.91156,0.60662,0.77604,0.53489,1.43318,1.02479,1.49769,0.000806528,0.000806528,0.000806528
24,344.507,0.84716,0.77396,1.11884,0.89547,0.68395,0.80485,0.49981,1.62317,1.05148,1.68556,0.000778233,0.000778233,0.000778233
25,359.111,0.84743,0.7674,1.11249,0.87389,0.68622,0.80772,0.54671,1.3803,0.95793,1.50519,0.000749939,0.000749939,0.000749939
26,373.561,0.82371,0.74857,1.10625,0.92049,0.68318,0.81881,0.54716,1.44581,0.95671,1.60208,0.000721645,0.000721645,0.000721645
27,388.047,0.8312,0.7402,1.10315,0.91435,0.71968,0.832,0.54914,1.43467,0.93583,1.57938,0.000693351,0.000693351,0.000693351
28,402.572,0.8356,0.74362,1.10097,0.91215,0.69442,0.81736,0.54149,1.4766,0.93202,1.54587,0.000665057,0.000665057,0.000665057
29,417.151,0.82112,0.73108,1.09801,0.9283,0.70449,0.83277,0.53425,1.49215,0.94973,1.58071,0.000636762,0.000636762,0.000636762
30,431.273,0.81314,0.71312,1.09334,0.89657,0.70955,0.82665,0.51473,1.52876,0.97619,1.64221,0.000608468,0.000608468,0.000608468
31,445.417,0.80259,0.71879,1.09409,0.91585,0.71165,0.83024,0.5512,1.43453,0.9296,1.56467,0.000580174,0.000580174,0.000580174
32,459.618,0.79506,0.69537,1.08696,0.90818,0.69887,0.82088,0.55709,1.424,0.9131,1.53592,0.00055188,0.00055188,0.00055188
33,473.885,0.79369,0.70012,1.08191,0.90927,0.74049,0.83767,0.57472,1.39064,0.87921,1.51079,0.000523586,0.000523586,0.000523586
34,488.422,0.78597,0.69399,1.07991,0.92236,0.73524,0.84613,0.61269,1.26928,0.84653,1.43316,0.000495291,0.000495291,0.000495291
35,503.012,0.79057,0.69133,1.07796,0.91857,0.71557,0.83363,0.58393,1.36608,0.86875,1.4848,0.000466997,0.000466997,0.000466997
36,517.575,0.77402,0.68247,1.07181,0.91236,0.70011,0.82548,0.58856,1.30461,0.85904,1.43169,0.000438703,0.000438703,0.000438703
37,532.146,0.7651,0.66632,1.06622,0.90256,0.74765,0.84358,0.58707,1.29874,0.87659,1.42402,0.000410409,0.000410409,0.000410409
38,546.572,0.75907,0.66484,1.06396,0.90488,0.73741,0.8407,0.58709,1.30693,0.85168,1.39713,0.000382115,0.000382115,0.000382115
39,560.69,0.75055,0.65476,1.06293,0.93136,0.74153,0.84398,0.56889,1.39889,0.9007,1.49409,0.00035382,0.00035382,0.00035382
40,575.076,0.75944,0.66833,1.06785,0.92846,0.72229,0.83914,0.59272,1.31333,0.8538,1.41221,0.000325526,0.000325526,0.000325526
41,609.801,0.75041,0.57842,1.0557,0.90306,0.75297,0.84907,0.59699,1.26313,0.85853,1.40099,0.000297232,0.000297232,0.000297232
42,624.231,0.73189,0.55338,1.04169,0.91807,0.73855,0.85019,0.58923,1.30959,0.82567,1.41346,0.000268938,0.000268938,0.000268938
43,638.572,0.71818,0.53706,1.03803,0.91067,0.73557,0.84122,0.58959,1.33023,0.82823,1.45828,0.000240644,0.000240644,0.000240644
44,652.974,0.71649,0.5317,1.02978,0.90606,0.74056,0.84175,0.61232,1.23119,0.7933,1.36992,0.000212349,0.000212349,0.000212349
45,667.396,0.70794,0.53368,1.02888,0.92374,0.74782,0.8522,0.60636,1.26136,0.78572,1.40483,0.000184055,0.000184055,0.000184055
46,681.876,0.70747,0.52197,1.02555,0.9264,0.72928,0.84426,0.58331,1.32049,0.78534,1.43729,0.000155761,0.000155761,0.000155761
47,696.309,0.69121,0.51437,1.02084,0.90578,0.73671,0.84408,0.60373,1.26917,0.77874,1.39478,0.000127467,0.000127467,0.000127467
48,710.693,0.6876,0.51144,1.02067,0.93097,0.73129,0.84584,0.61008,1.25165,0.7721,1.38984,9.91726e-05,9.91726e-05,9.91726e-05
49,725.074,0.67348,0.49858,1.00754,0.93188,0.74501,0.85133,0.60494,1.25518,0.78319,1.37618,7.08784e-05,7.08784e-05,7.08784e-05
50,739.484,0.67114,0.50083,1.01151,0.91504,0.74484,0.84911,0.60964,1.24736,0.76954,1.38084,4.25842e-05,4.25842e-05,4.25842e-05
